"","group","valence","arousal","concreteness"
"ANGER","Emotion",0.0829493087557603,0.836448598130841,0.318681318681319
"ANXIETY","Emotion",0.064516129032258,0.567757009345794,0.263736263736264
"ENVY","Emotion",0.167434715821813,0.467289719626168,0.120879120879121
"FEAR (FRIGHT)","Emotion",0.14900153609831,0.885514018691589,0.362637362637363
"GLOOMY","Emotion",0.182795698924731,0.226635514018692,0.348901098901099
"GRIEF","Emotion",0.0568356374807987,0.607476635514019,0.398351648351648
"HAPPY","Emotion",1,0.864485981308411,0.35989010989011
"HATE","Emotion",0,0.913551401869159,0.197802197802198
"HOPE","Emotion",0.847926267281106,0.686915887850467,0
"JOY","Emotion",0.960061443932412,0.747663551401869,0.307692307692308
"LOVE","Emotion",0.927803379416283,0.703271028037383,0.225274725274725
"PITY","Emotion",0.187403993855607,0.401869158878505,0.17032967032967
"PROUD","Emotion",0.774193548387097,0.747663551401869,0.225274725274725
"REGRET","Emotion",0.222734254992319,0.595794392523365,0.151098901098901
"SAD","Emotion",0.021505376344086,0.266355140186916,0.5
"SHAME","Emotion",0.101382488479263,0.712616822429907,0.271978021978022
"SURPRISED","Emotion",0.708141321044547,0.841121495327103,0.343406593406593
"WORRY","Emotion",0.021505376344086,0.929906542056075,0.357142857142857
"MERRY","Emotion",0.804915514592934,0.518691588785047,0.318681318681319
"DESIRE","Emotion",0.781874039938556,0.899532710280374,0.123626373626374
"GOOD","Emotion",0.910906298003072,0.30607476635514,0.107142857142857
"LIKE","Emotion",0.841781874039939,0.478971962616822,0.175824175824176
"BAD","Emotion",0.196620583717358,0.586448598130841,0.118131868131868
"WANT","Emotion",0.620583717357911,0.686915887850467,0.186813186813187
"TASTY","Taste",0.757296466973886,0.684579439252336,0.442307692307692
"TASTE (SOMETHING)","Taste",0.717357910906298,0.516355140186916,0.774725274725275
"SWEET","Taste",0.89247311827957,0.41822429906542,0.755494505494506
"SALT","Taste",0.62826420890937,0.509345794392523,1
"SALTY","Taste",0.482334869431643,0.371495327102804,0.736263736263736
"SOUR","Taste",0.30568356374808,0.607476635514019,0.519230769230769
"BITTER","Taste",0.25652841781874,0.535046728971962,0.461538461538462
"SPICY","Taste",0.66973886328725,1,0.565934065934066
"ROTTEN","Taste",0.0721966205837173,0.595794392523365,0.71978021978022
"FRESH","Taste",0.723502304147465,0,0.197802197802198
"RAW","Taste",0.370199692780338,0.651869158878504,0.576923076923077
"RIPE","Taste",0.554531490015361,0.567757009345794,0.563186813186813
"BLACK","Color",0.528417818740399,0.287383177570093,0.68956043956044
"WHITE","Color",0.648233486943164,0.233644859813084,0.725274725274725
"RED","Color",0.56989247311828,0.623831775700934,0.821428571428572
"BLUE","Color",0.701996927803379,0.313084112149533,0.68956043956044
"YELLOW","Color",0.634408602150538,0.345794392523364,0.837912087912088
"PURPLE","Color",0.559139784946236,0.397196261682243,0.766483516483517
"GREEN","Color",0.665130568356375,0.401869158878505,0.774725274725275
"ORANGE (COLOR)","Color",0.745007680491551,0.394859813084112,0.936813186813187
"DARK","Color",0.47926267281106,0.406542056074766,0.835164835164835
"BRIGHT","Color",0.749615975422427,0.619158878504673,0.733516483516484
"GREY","Color",0.2642089093702,0.107476635514019,0.607142857142857
"LIGHT (COLOR)","Color",0.705069124423963,0.273364485981308,0.813186813186813
"BROWN","Color",0.546850998463902,0.226635514018692,0.887362637362638
